Symbol,Open Price,Close Price,Percent Change,Volume,Turnover,Date Collected
FDHB,67.98,67.95,0.0,14530.0,987313.5,35:03.6
FMBCH,296.14,300,0.0,565723.0,169716900.0,35:03.6
ICON,17.94,17.94,0.0,0.0,0.0,35:03.6
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,35:03.6
MPICO,15,15,0.0,0.0,0.0,35:03.6
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,35:03.6
NBS,107.44,107.44,0.0,122704.0,13183320.0,35:03.6
NICO,155.5,155.5,0.0,0.0,0.0,35:03.6
NITL,410,410,0.0,0.0,0.0,35:03.6
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,35:03.6
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,35:03.6
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,35:03.6
SUNBIRD,191.06,191.06,0.0,0.0,0.0,35:03.6
TNM,28.38,28.37,0.0,20000.0,567400.0,35:03.6
AIRTEL,96.99,96.95,0.0,10182.0,987144.9,35:10.1
BHL,10.06,10.06,0.0,0.0,0.0,35:10.1
FDHB,67.98,67.95,0.0,14530.0,987313.5,35:10.1
FMBCH,296.14,300,0.0,565723.0,169716900.0,35:10.1
ICON,17.94,17.94,0.0,0.0,0.0,35:10.1
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,35:10.1
MPICO,15,15,0.0,0.0,0.0,35:10.1
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,35:10.1
NBS,107.44,107.44,0.0,122704.0,13183320.0,35:10.1
NICO,155.5,155.5,0.0,0.0,0.0,35:10.1
NITL,410,410,0.0,0.0,0.0,35:10.1
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,35:10.1
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,35:10.1
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,35:10.1
SUNBIRD,191.06,191.06,0.0,0.0,0.0,35:10.1
TNM,28.38,28.37,0.0,20000.0,567400.0,35:10.1
AIRTEL,96.99,96.95,0.0,10182.0,987144.9,35:10.6
BHL,10.06,10.06,0.0,0.0,0.0,35:10.6
FDHB,67.98,67.95,0.0,14530.0,987313.5,35:10.6
FMBCH,296.14,300,0.0,565723.0,169716900.0,35:10.6
ICON,17.94,17.94,0.0,0.0,0.0,35:10.6
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,35:10.6
MPICO,15,15,0.0,0.0,0.0,35:10.6
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,35:10.6
NBS,107.44,107.44,0.0,122704.0,13183320.0,35:10.6
NICO,155.5,155.5,0.0,0.0,0.0,35:10.6
NITL,410,410,0.0,0.0,0.0,35:10.6
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,35:10.6
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,35:10.6
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,35:10.6
SUNBIRD,191.06,191.06,0.0,0.0,0.0,35:10.6
TNM,28.38,28.37,0.0,20000.0,567400.0,35:10.6
AIRTEL,96.99,96.95,0.0,10182.0,987144.9,35:15.9
BHL,10.06,10.06,0.0,0.0,0.0,35:15.9
FDHB,67.98,67.95,0.0,14530.0,987313.5,35:15.9
FMBCH,296.14,300,0.0,565723.0,169716900.0,35:15.9
ICON,17.94,17.94,0.0,0.0,0.0,35:15.9
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,35:15.9
MPICO,15,15,0.0,0.0,0.0,35:15.9
NBM,"2,101.17","2,101.18",0.0,8000.0,16809440.0,35:15.9
NBS,107.44,107.44,0.0,122704.0,13183320.0,35:15.9
NICO,155.5,155.5,0.0,0.0,0.0,35:15.9
NITL,410,410,0.0,0.0,0.0,35:15.9
OMU,"1,380.00","1,500.00",0.0,303000.0,454500000.0,35:15.9
PCL,"2,507.00","2,507.00",0.0,0.0,0.0,35:15.9
STANDARD,"3,100.00","3,100.01",0.0,221.0,685102.21,35:15.9
SUNBIRD,191.06,191.06,0.0,0.0,0.0,35:15.9
TNM,28.38,28.37,0.0,20000.0,567400.0,35:15.9
AIRTEL,96.99,96.95,0.0,10182.0,987144.9,35:19.1
BHL,10.06,10.06,0.0,0.0,0.0,35:19.1
FDHB,67.98,67.95,0.0,14530.0,987313.5,35:19.1
FMBCH,296.14,300,0.0,565723.0,169716900.0,35:19.1
ICON,17.94,17.94,0.0,0.0,0.0,35:19.1
ILLOVO,"1,122.00","1,122.00",0.0,0.0,0.0,35:19.1
